Time,ref,est
2078762694540.0,0.0,-0.00746876047924161
2078762769888.0,0.0,-0.008705291897058487
2078762844430.0,0.0,-0.004841265734285116
2078762921064.0,0.0,-0.003376583568751812
2078762997628.0,0.0,-0.008093483746051788
2078763071962.0,0.0,-0.006952731870114803
2078763144769.0,0.0,-0.0048025231808424
2078763221382.0,0.0,-0.004406488500535488
2078763295847.0,0.0,-0.005892155691981316
2078763369763.0,0.0,-0.004986549727618694
2078763442575.0,0.0,-0.0028169697616249323
2078763518935.0,0.0,-0.0046389433555305
2078763593096.0,0.0,-0.006996855139732361
2078763667544.0,0.0,0.013536671176552773
2078763742168.0,0.0,7.466349870810518e-06
2078763816576.0,0.0,-0.006902689579874277
2078763890896.0,0.0,-0.005057039670646191
2078763968097.0,0.0,-0.003990544937551022
2078764044076.0,0.0,-0.004545315634459257
2078764120462.0,0.0,-0.005917446222156286
2078764194369.0,0.0,0.0066152154467999935
2078764270221.0,0.0,-0.007059273775666952
2078764347503.0,0.0,-0.004714276175945997
2078764420984.0,0.0,-0.0030096061527729034
2078764496837.0,0.0,-0.006777314469218254
2078764570944.0,0.0,0.0066232867538928986
2078764645208.0,0.0,-0.007694758474826813
2078764719098.0,0.0,-0.0060288310050964355
2078764793720.0,0.0,-0.005654320120811462
2078764867772.0,0.0,-0.008064426481723785
2078764941003.0,0.0,-0.004338150843977928
2078765017421.0,0.0,-0.005594592075794935
2078765093390.0,0.0,-0.005212009884417057
2078765168841.0,0.0,-0.006291957106441259
2078765244367.0,0.0,-0.005960493348538876
2078765318242.0,0.0,-0.008845733478665352
2078765392932.0,0.0,-0.0015669859712943435
2078765469430.0,0.0,-0.0046104248613119125
2078765544305.0,0.0,-0.0018188122194260359
2078765619513.0,0.0,0.004934759344905615
2078765694835.0,0.0,-0.007771705277264118
2078765771012.0,0.0,-0.006755252834409475
2078765845155.0,0.0,0.011175530962646008
2078765921403.0,0.0,-0.004593206103891134
2078765994290.0,0.0,-0.0043542939238250256
2078766068104.0,0.0,0.002715136855840683
2078766143846.0,0.0,0.00047022401122376323
2078766218379.0,0.0,-0.006436703260987997
2078766291503.0,0.0,-0.005123225040733814
2078766368081.0,0.0,0.0026451849844306707
2078766442770.0,0.0,-0.0011036901269108057
2078766516799.0,0.0,-0.0013501355424523354
2078766593327.0,0.0,0.002293812111020088
2078766669094.0,0.0,-0.0031258335802704096
2078766742919.0,0.0,-0.0006812892388552427
2078766816563.0,0.0,-0.006035826168954372
2078766890615.0,0.0,-0.0005586046609096229
2078766964889.0,0.0,-0.00518456706777215
2078767039242.0,0.0,-0.00028794523677788675
2078767114026.0,0.0,-0.0045243301428854465
2078767186545.0,0.0,-0.0010595667408779263
2078767262066.0,0.0,-0.007396118249744177
2078767336512.0,0.0,0.015143409371376038
2078767410933.0,0.0,-0.006213395856320858
2078767485877.0,0.0,-0.004554463550448418
2078767558710.0,0.0,-0.0035654534585773945
2078767634828.0,0.0,0.0022631408646702766
2078767711681.0,0.0,-0.0072728958912193775
2078767787192.0,0.0,-0.0030101442243903875
2078767860499.0,0.0,-0.0028266552835702896
2078767936406.0,0.0,0.007037078496068716
2078768010473.0,0.0,-0.005315861199051142
2078768083892.0,0.0,0.012614384293556213
2078768160476.0,0.0,-0.0007657694513909519
2078768235670.0,0.0,-0.004270889796316624
2078768309556.0,0.0,-0.003201704239472747
2078768386016.0,0.0,0.006672252900898457
2078768460439.0,0.0,-0.00014373702288139611
2078768535469.0,0.0,0.00012961284664925188
2078768609701.0,0.0,-0.0018570165848359466
2078768684925.0,0.0,-0.006713281851261854
2078768761344.0,0.0,-0.006113310810178518
2078768837506.0,0.0,-0.008495436981320381
