Time,ref,est
48716065725385.0,0.009999999776482582,-0.024791838601231575
48716065799555.0,0.009999999776482582,-0.02181546948850155
48716065873226.0,0.004999999888241291,0.03527649864554405
48716065948961.0,0.004999999888241291,-0.01629197783768177
48716066024104.0,0.009999999776482582,-0.029440099373459816
48716066098798.0,0.009999999776482582,-0.024247638881206512
48716066172128.0,0.009999999776482582,-0.025411704555153847
48716066248831.0,0.009999999776482582,-0.015520055778324604
48716066322887.0,0.009999999776482582,-0.01876780018210411
48716066397109.0,0.009999999776482582,-0.02442515827715397
48716066470641.0,0.009999999776482582,-0.016872555017471313
48716066545057.0,0.009999999776482582,-0.01858445815742016
48716066619586.0,0.004999999888241291,-0.022540828213095665
48716066694905.0,0.009999999776482582,-0.024917704984545708
48716066769453.0,0.009999999776482582,-0.018745973706245422
48716066842950.0,0.009999999776482582,-0.016871826723217964
48716066917932.0,0.009999999776482582,-0.026241829618811607
48716066991225.0,0.009999999776482582,-0.01602642424404621
48716067063810.0,0.009999999776482582,-0.015068252570927143
48716067138394.0,0.009999999776482582,-0.02342187985777855
48716067211843.0,0.009999999776482582,-0.024601222947239876
48716067284808.0,0.009999999776482582,-0.01952444203197956
48716067359942.0,0.009999999776482582,-0.017304714769124985
48716067433284.0,0.009999999776482582,-0.018190858885645866
48716067506749.0,0.009999999776482582,-0.0159543976187706
48716067582586.0,0.009999999776482582,-0.028646351769566536
48716067656802.0,0.009999999776482582,-0.022837664932012558
48716067730597.0,0.009999999776482582,-0.016039520502090454
48716067805163.0,0.009999999776482582,-0.02599155530333519
48716067877267.0,0.009999999776482582,-0.016944581642746925
48716067950204.0,0.009999999776482582,-0.019899126142263412
48716068025987.0,0.009999999776482582,-0.015381823293864727
48716068099162.0,0.009999999776482582,-0.01733599789440632
48716068173789.0,0.009999999776482582,-0.016003871336579323
48716068249712.0,0.009999999776482582,-0.016835451126098633
48716068323491.0,0.009999999776482582,-0.025760924443602562
48716068396519.0,0.009999999776482582,-0.017568083480000496
48716068472711.0,0.009999999776482582,-0.020618664100766182
48716068546359.0,0.009999999776482582,-0.01827743649482727
48716068620240.0,0.009999999776482582,-0.014947481453418732
48716068694513.0,0.009999999776482582,-0.02939280867576599
48716068768999.0,0.009999999776482582,-0.01580379717051983
